list-none-none,1,10,1,30,100317,3343
list-none-none,1,100,1,300,118046,393
list-none-none,1,1000,1,3000,3416689,1138
list-none-none,1,10000,1,30000,583756569,19458
list-none-none,1,20000,1,60000,3153263245,52554
list-none-none,2,1,1,6,132623,22103
list-none-none,2,1000,1,6000,38385088,6397
list-none-none,4,1,1,12,209256,17438
list-none-none,8,1,1,24,290801,12116
list-none-none,12,1,1,36,366037,10167
list-none-none,2,1,1,6,114644,19107
list-i-none,2,1,1,6,111364,18560
list-d-none,2,1,1,6,113814,18969
list-il-none,2,1,1,6,474782,79130
list-dl-none,2,1,1,6,95963,15993
list-none-none,2,2,1,12,73338,6111
list-i-none,2,2,1,12,75407,6283
list-d-none,2,2,1,12,99805,8317
list-il-none,2,2,1,12,91035,7586
list-dl-none,2,2,1,12,112159,9346
list-none-none,2,4,1,24,72136,3005
list-i-none,2,4,1,24,115318,4804
list-d-none,2,4,1,24,136902,5704
list-il-none,2,4,1,24,133445,5560
list-i-none,2,8,1,48,140358,2924
list-il-none,2,8,1,48,104078,2168
list-dl-none,2,8,1,48,138246,2880
list-none-none,2,16,1,96,71727,747
list-il-none,2,16,1,96,106423,1108
list-none-none,2,32,1,192,78417,408
list-none-none,4,1,1,12,163362,13613
list-d-none,4,1,1,12,132253,11021
list-il-none,4,1,1,12,174288,14524
list-dl-none,4,1,1,12,187550,15629
list-i-none,4,2,1,24,208930,8705
list-d-none,4,2,1,24,112468,4686
list-il-none,4,2,1,24,188764,7865
list-dl-none,4,2,1,24,115394,4808
list-i-none,4,4,1,48,102657,2138
list-d-none,4,4,1,48,105983,2207
list-il-none,4,4,1,48,184232,3838
list-dl-none,4,4,1,48,170620,3554
list-dl-none,4,8,1,96,191912,1999
list-i-none,4,16,1,192,175656,914
list-none-none,4,32,1,384,121893,317
list-none-none,8,1,1,24,236217,9842
list-i-none,8,1,1,24,234278,9761
list-d-none,8,1,1,24,234807,9783
list-il-none,8,1,1,24,234493,9770
list-dl-none,8,1,1,24,222586,9274
list-none-none,8,2,1,48,230744,4807
list-i-none,8,2,1,48,254993,5312
list-d-none,8,2,1,48,277329,5777
list-il-none,8,2,1,48,274728,5723
list-dl-none,8,2,1,48,264166,5503
list-none-none,8,4,1,96,232199,2418
list-d-none,8,4,1,96,230218,2398
list-dl-none,8,4,1,96,216097,2251
list-none-none,8,8,1,192,202265,1053
list-i-none,8,8,1,192,201604,1050
list-il-none,8,8,1,192,204186,1063
list-dl-none,8,8,1,192,912044,4750
list-none-none,8,16,1,384,199842,520
list-none-none,12,1,1,36,353685,9824
list-i-none,12,1,1,36,366211,10172
list-d-none,12,1,1,36,326518,9069
list-il-none,12,1,1,36,334336,9287
list-dl-none,12,1,1,36,304730,8464
list-none-none,12,2,1,72,329284,4573
list-i-none,12,2,1,72,307242,4267
list-d-none,12,2,1,72,302930,4207
list-dl-none,12,2,1,72,328675,4564
list-i-none,12,4,1,144,310435,2155
list-i-none,12,8,1,288,318700,1106
list-d-none,12,8,1,288,339554,1179
list-il-none,12,8,1,288,324353,1126
list-dl-none,12,8,1,288,314758,1092
list-none-none,12,16,1,576,308451,535
list-i-none,12,16,1,576,284436,493
list-d-none,12,16,1,576,308285,535
list-none-m,2,1,1,6,118719,19786
list-i-m,2,1,1,6,95686,15947
list-d-m,2,1,1,6,118918,19819
list-il-m,2,1,1,6,92169,15361
list-dl-m,2,1,1,6,172313,28718
list-none-s,2,1,1,6,61763,10293
list-i-s,2,1,1,6,67217,11202
list-d-s,2,1,1,6,66107,11017
list-il-s,2,1,1,6,76550,12758
list-dl-s,2,1,1,6,77783,12963
list-none-m,2,2,1,12,176868,14739
list-i-m,2,2,1,12,123950,10329
list-d-m,2,2,1,12,75495,6291
list-il-m,2,2,1,12,89372,7447
list-dl-m,2,2,1,12,171498,14291
list-none-s,2,2,1,12,93851,7820
list-i-s,2,2,1,12,139623,11635
list-d-s,2,2,1,12,127764,10647
list-il-s,2,2,1,12,112180,9348
list-dl-s,2,2,1,12,79292,6607
list-none-m,2,4,1,24,70812,2950
list-i-m,2,4,1,24,96097,4004
list-d-m,2,4,1,24,100617,4192
list-il-m,2,4,1,24,125924,5246
list-dl-m,2,4,1,24,98783,4115
list-none-s,2,4,1,24,805259,33552
list-i-s,2,4,1,24,114912,4788
list-d-s,2,4,1,24,112604,4691
list-il-s,2,4,1,24,96878,4036
list-dl-s,2,4,1,24,80098,3337
list-none-m,2,8,1,48,148390,3091
list-i-m,2,8,1,48,143717,2994
list-d-m,2,8,1,48,134204,2795
list-il-m,2,8,1,48,145035,3021
list-dl-m,2,8,1,48,104202,2170
list-none-s,2,8,1,48,97509,2031
list-i-s,2,8,1,48,130408,2716
list-d-s,2,8,1,48,120291,2506
list-il-s,2,8,1,48,123671,2576
list-dl-s,2,8,1,48,87037,1813
list-none-m,2,16,1,96,191691,1996
list-i-m,2,16,1,96,122503,1276
list-d-m,2,16,1,96,79220,825
list-il-m,2,16,1,96,167168,1741
list-dl-m,2,16,1,96,142088,1480
list-none-s,2,16,1,96,145410,1514
list-i-s,2,16,1,96,99463,1036
list-d-s,2,16,1,96,143861,1498
list-il-s,2,16,1,96,140499,1463
list-dl-s,2,16,1,96,142533,1484
list-none-m,2,32,1,192,122259,636
list-i-m,2,32,1,192,129868,676
list-d-m,2,32,1,192,197578,1029
list-il-m,2,32,1,192,255025,1328
list-dl-m,2,32,1,192,152618,794
list-none-s,2,32,1,192,124531,648
list-i-s,2,32,1,192,162469,846
list-d-s,2,32,1,192,144010,750
list-il-s,2,32,1,192,170472,887
list-dl-s,2,32,1,192,142735,743
list-none-m,4,1,1,12,133309,11109
list-i-m,4,1,1,12,133210,11100
list-d-m,4,1,1,12,160606,13383
list-il-m,4,1,1,12,160309,13359
list-dl-m,4,1,1,12,157712,13142
list-none-s,4,1,1,12,93415,7784
list-i-s,4,1,1,12,152384,12698
list-d-s,4,1,1,12,157837,13153
list-il-s,4,1,1,12,169242,14103
list-dl-s,4,1,1,12,168498,14041
list-none-m,4,2,1,24,166244,6926
list-i-m,4,2,1,24,171618,7150
list-d-m,4,2,1,24,155202,6466
list-il-m,4,2,1,24,136891,5703
list-dl-m,4,2,1,24,91474,3811
list-none-s,4,2,1,24,163308,6804
list-i-s,4,2,1,24,157008,6542
list-d-s,4,2,1,24,160941,6705
list-il-s,4,2,1,24,171798,7158
list-dl-s,4,2,1,24,161961,6748
list-none-m,4,4,1,48,160897,3352
list-i-m,4,4,1,48,173220,3608
list-d-m,4,4,1,48,167571,3491
list-il-m,4,4,1,48,167051,3480
list-dl-m,4,4,1,48,176870,3684
list-none-s,4,4,1,48,121819,2537
list-i-s,4,4,1,48,181988,3791
list-d-s,4,4,1,48,166563,3470
list-il-s,4,4,1,48,170813,3558
list-dl-s,4,4,1,48,160541,3344
list-none-m,4,8,1,96,152869,1592
list-i-m,4,8,1,96,164092,1709
list-d-m,4,8,1,96,181325,1888
list-il-m,4,8,1,96,147768,1539
list-dl-m,4,8,1,96,106240,1106
list-none-s,4,8,1,96,177735,1851
list-i-s,4,8,1,96,159215,1658
list-d-s,4,8,1,96,661681,6892
list-il-s,4,8,1,96,180646,1881
list-dl-s,4,8,1,96,174628,1819
list-none-m,4,16,1,192,160848,837
list-i-m,4,16,1,192,190981,994
list-d-m,4,16,1,192,150278,782
list-il-m,4,16,1,192,235671,1227
list-dl-m,4,16,1,192,267766,1394
list-none-s,4,16,1,192,176661,920
list-i-s,4,16,1,192,161112,839
list-d-s,4,16,1,192,167146,870
list-il-s,4,16,1,192,184256,959
list-dl-s,4,16,1,192,226245,1178
list-none-m,4,32,1,384,273368,711
list-i-m,4,32,1,384,336187,875
list-d-m,4,32,1,384,391962,1020
list-il-m,4,32,1,384,272727,710
list-dl-m,4,32,1,384,252722,658
list-none-s,4,32,1,384,174493,454
list-i-s,4,32,1,384,222498,579
list-d-s,4,32,1,384,321846,838
list-il-s,4,32,1,384,466279,1214
list-dl-s,4,32,1,384,277901,723
list-none-m,8,1,1,24,257513,10729
list-i-m,8,1,1,24,219396,9141
list-d-m,8,1,1,24,216423,9017
list-il-m,8,1,1,24,192991,8041
list-dl-m,8,1,1,24,210458,8769
list-none-s,8,1,1,24,192435,8018
list-i-s,8,1,1,24,189363,7890
list-d-s,8,1,1,24,197689,8237
list-il-s,8,1,1,24,195152,8131
list-dl-s,8,1,1,24,721089,30045
list-none-m,8,2,1,48,185827,3871
list-i-m,8,2,1,48,181934,3790
list-d-m,8,2,1,48,211812,4412
list-il-m,8,2,1,48,191272,3984
list-dl-m,8,2,1,48,182821,3808
list-none-s,8,2,1,48,185751,3869
list-i-s,8,2,1,48,224477,4676
list-d-s,8,2,1,48,297697,6202
list-il-s,8,2,1,48,252575,5261
list-dl-s,8,2,1,48,225991,4708
list-none-m,8,4,1,96,289240,3012
list-i-m,8,4,1,96,302559,3151
list-d-m,8,4,1,96,240692,2507
list-il-m,8,4,1,96,230705,2403
list-dl-m,8,4,1,96,237654,2475
list-none-s,8,4,1,96,187108,1949
list-i-s,8,4,1,96,222436,2317
list-d-s,8,4,1,96,180007,1875
list-il-s,8,4,1,96,228881,2384
list-dl-s,8,4,1,96,258221,2689
list-none-m,8,8,1,192,244545,1273
list-i-m,8,8,1,192,305656,1591
list-d-m,8,8,1,192,239267,1246
list-il-m,8,8,1,192,333996,1739
list-dl-m,8,8,1,192,220638,1149
list-none-s,8,8,1,192,233850,1217
list-i-s,8,8,1,192,217033,1130
list-d-s,8,8,1,192,242055,1260
list-il-s,8,8,1,192,269085,1401
list-dl-s,8,8,1,192,235229,1225
list-none-m,8,16,1,384,235518,613
list-i-m,8,16,1,384,534531,1392
list-d-m,8,16,1,384,195305,508
list-il-m,8,16,1,384,580229,1511
list-dl-m,8,16,1,384,515985,1343
list-none-s,8,16,1,384,164304,427
list-i-s,8,16,1,384,384148,1000
list-d-s,8,16,1,384,515701,1342
list-il-s,8,16,1,384,388658,1012
list-dl-s,8,16,1,384,342202,891
list-none-m,8,32,1,768,384835,501
list-i-m,8,32,1,768,1021044,1329
list-d-m,8,32,1,768,1096515,1427
list-il-m,8,32,1,768,1230251,1601
list-dl-m,8,32,1,768,1189683,1549
list-none-s,8,32,1,768,237496,309
list-i-s,8,32,1,768,802672,1045
list-d-s,8,32,1,768,544947,709
list-il-s,8,32,1,768,894606,1164
list-dl-s,8,32,1,768,918984,1196
list-none-m,12,1,1,36,306855,8523
list-i-m,12,1,1,36,328450,9123
list-d-m,12,1,1,36,311904,8664
list-il-m,12,1,1,36,329657,9157
list-dl-m,12,1,1,36,321248,8923
list-none-s,12,1,1,36,321135,8920
list-i-s,12,1,1,36,309116,8586
list-d-s,12,1,1,36,301759,8382
list-il-s,12,1,1,36,322083,8946
list-dl-s,12,1,1,36,372319,10342
list-none-m,12,2,1,72,311923,4332
list-i-m,12,2,1,72,335248,4656
list-d-m,12,2,1,72,324392,4505
list-il-m,12,2,1,72,323723,4496
list-dl-m,12,2,1,72,291418,4047
list-none-s,12,2,1,72,317720,4412
list-i-s,12,2,1,72,285238,3961
list-d-s,12,2,1,72,278036,3861
list-il-s,12,2,1,72,276076,3834
list-dl-s,12,2,1,72,254338,3532
list-none-m,12,4,1,144,255942,1777
list-i-m,12,4,1,144,269539,1871
list-d-m,12,4,1,144,250791,1741
list-il-m,12,4,1,144,278503,1934
list-dl-m,12,4,1,144,258430,1794
list-none-s,12,4,1,144,383450,2662
list-i-s,12,4,1,144,368067,2556
list-d-s,12,4,1,144,308356,2141
list-il-s,12,4,1,144,303146,2105
list-dl-s,12,4,1,144,287130,1993
list-none-m,12,8,1,288,315016,1093
list-i-m,12,8,1,288,533582,1852
list-d-m,12,8,1,288,295549,1026
list-il-m,12,8,1,288,322933,1121
list-dl-m,12,8,1,288,421811,1464
list-none-s,12,8,1,288,289480,1005
list-i-s,12,8,1,288,285831,992
list-d-s,12,8,1,288,261863,909
list-il-s,12,8,1,288,301241,1045
list-dl-s,12,8,1,288,318650,1106
list-none-m,12,16,1,576,689681,1197
list-i-m,12,16,1,576,934373,1622
list-d-m,12,16,1,576,909976,1579
list-il-m,12,16,1,576,1033926,1795
list-dl-m,12,16,1,576,792506,1375
list-none-s,12,16,1,576,590623,1025
list-i-s,12,16,1,576,809115,1404
list-d-s,12,16,1,576,355498,617
list-il-s,12,16,1,576,679385,1179
list-dl-s,12,16,1,576,712167,1236
list-none-m,12,32,1,1152,1380198,1198
list-i-m,12,32,1,1152,2015381,1749
list-d-m,12,32,1,1152,1748624,1517
list-il-m,12,32,1,1152,2076113,1802
list-dl-m,12,32,1,1152,1970882,1710
list-none-s,12,32,1,1152,1662894,1443
list-i-s,12,32,1,1152,1805989,1567
list-d-s,12,32,1,1152,1780499,1545
list-il-s,12,32,1,1152,1813828,1574
list-dl-s,12,32,1,1152,1977080,1716
list-none-m,1,1000,1,3000,3470921,1156
list-none-s,1,1000,1,3000,3477511,1159
list-none-m,2,1000,1,6000,20721895,3453
list-none-s,2,1000,1,6000,17269403,2878
list-none-m,4,1000,1,12000,78506320,6542
list-none-s,4,1000,1,12000,56403356,4700
list-none-m,8,1000,1,24000,384754566,16031
list-none-s,8,1000,1,24000,262798948,10949
list-none-m,12,1000,1,36000,1001099195,27808
list-none-s,12,1000,1,36000,456331340,12675
list-none-m,16,1000,1,48000,1928269277,40172
list-none-s,16,1000,1,48000,1016953003,21186
list-none-m,24,1000,1,72000,4709247644,65406
list-none-s,24,1000,1,72000,2545243050,35350
